index,speaker_actor_id,speaker_kind,text_normalized,lfl_file,room_id,script_id,object_id,verb_id,opcode,opcode_offset,message_offset
43,1,ego,"No, I'll keep this myself.",02.LFL,2,-1,68,-1,0xD8,203,205
44,1,ego,I don't see anything pertinent right now.,02.LFL,2,-1,68,-1,0xD8,428,430
45,1,ego,"It's just a chunk of crystal I found in a Mayan temple.  It's<CTRL1>of no use to me, but some flakes in San Francisco want it.",02.LFL,2,-1,69,-1,0xD8,40,42
46,1,ego,It's of no interest to me.,02.LFL,2,-1,69,-1,0xD8,165,167
47,1,ego,These are replicas of the Sankara Stones I recovered<CTRL1>about 3 years ago.,02.LFL,2,-1,72,-1,0xD8,30,32
48,1,ego,"I believe this is a fragment of a meteor.  I don't know why<CTRL1>it oozes purple slime, though^",02.LFL,2,-1,85,-1,0xD8,35,37
49,1,ego,I see some difficult times ahead!,02.LFL,2,-1,81,-1,0xD8,46,48
50,1,ego,They're just some old skulls.,02.LFL,2,-1,73,-1,0xD8,37,39
51,1,ego,It's a statue of a thousand-year-old falcon.,02.LFL,2,-1,70,-1,0xD8,40,42
52,1,ego,It really means a lot to me^,02.LFL,2,-1,70,-1,0xD8,88,90
53,1,ego,"I haven't finished translating it, but I think it's a warning<CTRL1>about aliens in disguises.",02.LFL,2,-1,75,-1,0xD8,45,47
54,1,ego,I recovered this from a strange Brazilian tribe that<CTRL1>worships dogs and rabbits.,02.LFL,2,-1,74,-1,0xD8,41,43
55,1,ego,I won this medal in a boxing tournament.,02.LFL,2,-1,76,-1,0xD8,36,38
56,1,ego,It's the Earth.,02.LFL,2,-1,77,-1,0xD8,36,38
57,1,ego,It's very warm.,02.LFL,2,-1,78,-1,0xD8,46,48
58,1,ego,It's already on.,02.LFL,2,-1,78,-1,0xD8,65,67
59,1,ego,I'd better not.  The college needs its hot water.,02.LFL,2,-1,78,-1,0xD8,85,87
60,1,ego,It's a strange map drawn with crayons.,02.LFL,2,-1,79,-1,0xD8,34,36
61,1,ego,These were given to me by a student in Sculpture 101.,02.LFL,2,-1,80,-1,0xD8,38,40
62,1,ego,^just some old books and worthless trinkets.,02.LFL,2,-1,82,-1,0xD8,35,37
63,1,ego,I used this for Halloween when I was a boy.,02.LFL,2,-1,83,-1,0xD8,35,37
64,1,ego,I got this from an African shaman near Kinshasa.,02.LFL,2,-1,84,-1,0xD8,35,37
65,1,ego,"Hmm, this looks important, but I'll leave this other junk here.",02.LFL,2,-1,-1,-1,0xD8,21,23
66,1,ego,I don't need to take this with me.,02.LFL,2,-1,-1,-1,0xD8,1,3
67,255,direct_actor,HEY!  <CTRL2>,03.LFL,3,-1,87,-1,0x14,28,33
68,255,direct_actor,STOP SHOVING!,03.LFL,3,-1,87,-1,0x14,42,47
69,255,direct_actor,Doctor Jones!  <CTRL2>,03.LFL,3,-1,114,-1,0x14,47,52
70,255,direct_actor,HANDS OFF!,03.LFL,3,-1,114,-1,0x14,70,75
71,1,ego,"Boy, do they look pissed!",03.LFL,3,-1,114,-1,0xD8,111,113
72,1,ego,They're very angry!,03.LFL,3,-1,114,-1,0xD8,142,144
73,10,direct_actor,"Don't talk to ME, Dr. Jones!",03.LFL,3,30,-1,-1,0x14,9,12
74,10,direct_actor,It's the STUDENTS that are upset!,03.LFL,3,30,-1,-1,0x14,9,12
75,255,direct_actor,NOTHING DOING!  <CTRL2>,03.LFL,3,30,-1,-1,0x14,583,588
76,255,direct_actor,WE WANT OUR CARDS SIGNED!,03.LFL,3,30,-1,-1,0x14,607,612
77,255,direct_actor,I want my card signed NOW!  <CTRL2>,03.LFL,3,30,-1,-1,0x14,673,678
78,255,direct_actor,Me too!  <CTRL2>,03.LFL,3,30,-1,-1,0x14,709,714
79,255,direct_actor,That's right!,03.LFL,3,30,-1,-1,0x14,726,731
80,255,direct_actor,What are you going to do?  <CTRL2>,03.LFL,3,30,-1,-1,0x14,755,760
81,255,direct_actor,I was here first.  <CTRL2>,03.LFL,3,30,-1,-1,0x14,790,795
82,255,direct_actor,"No, I was!",03.LFL,3,30,-1,-1,0x14,817,822
83,255,direct_actor,"Well, as long as there's a fair way.",03.LFL,3,30,-1,-1,0x14,843,848
84,255,direct_actor,I was first.  <CTRL2>,03.LFL,3,30,-1,-1,0x14,902,907
85,255,direct_actor,"No, it was me!  <CTRL2>",03.LFL,3,30,-1,-1,0x14,924,929
86,255,direct_actor,I'm behind him!  <CTRL2>,03.LFL,3,30,-1,-1,0x14,948,953
87,255,direct_actor,Stop shoving!,03.LFL,3,30,-1,-1,0x14,973,978
88,1,ego,That won't hold them for long.  I'd better not go back<CTRL1>in there.,03.LFL,3,30,-1,-1,0xD8,1051,1053
89,255,direct_actor,All the archaeology professors are booked!,03.LFL,3,30,-1,-1,0x14,1161,1166
90,255,direct_actor,"Great, tell us his name!",03.LFL,3,30,-1,-1,0x14,1292,1297
91,255,direct_actor,"Thank you, Dr. Jones.  <CTRL2>",03.LFL,3,30,-1,-1,0x14,1407,1412
92,255,direct_actor,See ya!,03.LFL,3,30,-1,-1,0x14,1438,1443
93,1,ego,I never thought I'd get past them!,03.LFL,3,30,-1,-1,0xD8,1507,1509
94,10,direct_actor,STUDENTS!  STUDENTS!  PLEASE BE PATIENT!<CTRL1>I'm sure Dr. Jones will be back soon!,03.LFL,3,55,-1,-1,0x14,33,36
95,255,direct_actor,BUT WE'VE BEEN WAITING FOR HIM TO SIGN OUR CARDS ALL DAY!,03.LFL,3,55,-1,-1,0x14,117,122
96,255,direct_actor,YEAH!!  <CTRL2>,03.LFL,3,55,-1,-1,0x14,181,186
97,255,direct_actor,YEAH!!,03.LFL,3,55,-1,-1,0x14,241,246
98,10,direct_actor,ARGHHHH!!!,03.LFL,3,55,-1,-1,0x14,254,257
99,1,ego,Irene!  What's happening here?,03.LFL,3,55,-1,-1,0xD8,335,337
100,10,direct_actor,Oh!  Dr. Jones!  I'm so glad you're back.,03.LFL,3,55,-1,-1,0x14,390,393
101,10,direct_actor,Dr. Jones!  <CTRL2>,03.LFL,3,55,-1,-1,0x14,462,465
102,10,direct_actor,These students are VERY upset!,03.LFL,3,55,-1,-1,0x14,514,517
103,1,ego,It's latched from the other side.,06.LFL,6,-1,118,-1,0xD8,42,44
104,0,direct_actor,Henry's House,06.LFL,6,-1,-1,-1,0x14,48,62
105,10,direct_actor,"Dr. Jones,<CTRL2>",06.LFL,6,73,-1,-1,0x14,121,124
106,10,direct_actor,"come with us, please.",06.LFL,6,73,-1,-1,0x14,177,180
107,5,direct_actor,"Good morning, Dr. Jones.  I hope I didn't alarm you.",06.LFL,6,73,-1,-1,0x14,303,306
108,1,ego,I'm not used to such unorthodox methods of introduction.,06.LFL,6,73,-1,-1,0xD8,383,385
109,5,direct_actor,I'm sorry if my men inconvenienced you.<CTRL1>My name is Walter Donovan.,06.LFL,6,73,-1,-1,0x14,443,446
110,1,ego,"I know who you are, Mr. Donovan.  Your contributions<CTRL1>to the museum have been extremely generous.",06.LFL,6,73,-1,-1,0xD8,515,517
111,1,ego,"And I must say, some of your pieces here are quite<CTRL1>impressive.",06.LFL,6,73,-1,-1,0xD8,515,517
112,5,direct_actor,"Like yourself, I have a passion for antiquities.",06.LFL,6,73,-1,-1,0x14,681,684
113,5,direct_actor,Have a look over here.  You may find this interesting.,06.LFL,6,73,-1,-1,0x14,769,772
114,1,ego,"Early Christian symbols^  Middle Twelfth Century, I'd say.",06.LFL,6,73,-1,-1,0xD8,854,856
115,1,ego,Where did you find it?,06.LFL,6,73,-1,-1,0xD8,952,954
116,5,direct_actor,In the mountains north of Ankara.  Can you translate it?,06.LFL,6,73,-1,-1,0x14,978,981
117,1,ego,"Hi, Chuck!",07.LFL,7,-1,141,-1,0xD8,39,41
118,1,ego,They're just a lot of old books.<CTRL1>I've read them many times.,07.LFL,7,-1,137,-1,0xD8,41,43
119,1,ego,"Oh yes, I remember THESE books!",07.LFL,7,-1,138,-1,0xD8,41,43
120,1,ego,I'd just as soon forget them!,07.LFL,7,-1,138,-1,0xD8,41,43
121,1,ego,Medieval European history^,07.LFL,7,-1,145,-1,0xD8,41,43
122,1,ego,I'll leave them here.,07.LFL,7,-1,145,-1,0xD8,41,43
123,1,ego,"Greek, German, Latin, Italian, French^",07.LFL,7,-1,146,-1,0xD8,46,48
124,1,ego,I sure had to learn a lot of languages when I was a kid.,07.LFL,7,-1,146,-1,0xD8,46,48
125,1,ego,These are the books Dad used to read while falling asleep.,07.LFL,7,-1,150,-1,0xD8,50,52
126,1,ego,It's a painting I did when I was a little boy.<CTRL1>It's of a trophy my father won.,07.LFL,7,-1,128,-1,0xD8,39,41
127,1,ego,It's kind of lumpy.,07.LFL,7,-1,133,-1,0xD8,60,62
128,1,ego,It's a very small key.,07.LFL,7,-1,133,-1,0xD8,85,87
129,1,ego,I can't get the tape open.  It's just too sticky.,07.LFL,7,-1,133,-1,0xD8,120,122
130,1,ego,I'll clean up later.,07.LFL,7,-1,129,-1,0xD8,57,59
131,1,ego,This is the diary I made when I was a little boy. It was<CTRL1>supposed to look like my father's Grail Diary.,07.LFL,7,-1,136,-1,0xD8,49,51
132,1,ego,I think Junior made this book when he was a boy.,07.LFL,7,-1,136,-1,0xD8,159,161
133,1,ego,It's signed by Hitler!,07.LFL,7,-1,136,-1,0xD8,222,224
134,1,ego,It's locked.,07.LFL,7,-1,135,-1,0xD8,44,46
135,1,ego,That doesn't unlock it.,07.LFL,7,-1,135,-1,0xD8,96,98
136,1,ego,The plant's in the way.,07.LFL,7,-1,134,-1,0xD8,44,46
137,1,ego,I'll just put it down over here.,07.LFL,7,-1,131,-1,0xD8,31,33
138,1,ego,It seems to be a bit broken.,07.LFL,7,-1,130,-1,0xD8,34,36
139,0,direct_actor,It's an upside-down chair.,07.LFL,7,-1,144,-1,0x14,44,52
140,1,ego,I'll clean up another day.,07.LFL,7,-1,144,-1,0xD8,81,83
141,1,ego,There's no paper in it.,07.LFL,7,-1,139,-1,0xD8,62,64
142,1,ego,Huh?,07.LFL,7,-1,139,-1,0xD8,91,93
143,1,ego,"This isn't a radio, you know!",07.LFL,7,-1,139,-1,0xD8,104,106
144,1,ego,Everything that was in it is on the floor!,07.LFL,7,-1,140,-1,0xD8,40,42
145,1,ego,None of those papers on top mean anything.,07.LFL,7,-1,140,-1,0xD8,93,95
146,1,ego,"After seeing this mess, I'd rather leave it alone.",07.LFL,7,-1,142,-1,0xD8,39,41
147,1,ego,I'd rather not.,07.LFL,7,-1,142,-1,0xD8,93,95
148,1,ego,There's probably nothing in there but an old egg.,07.LFL,7,-1,142,-1,0xD8,93,95
149,1,ego,Nice day out there.,07.LFL,7,-1,143,-1,0xD8,42,44
150,1,ego,This window hasn't been opened for years!,07.LFL,7,-1,143,-1,0xD8,65,67
151,1,ego,I can see into the neighbor's yard.,07.LFL,7,-1,147,-1,0xD8,60,62
152,1,ego,Ooops!,07.LFL,7,-1,147,-1,0xD8,60,62
153,1,ego,How embarrassing!,07.LFL,7,-1,147,-1,0xD8,112,114
154,1,ego,"If I managed to open it, I'd never get it closed again.",07.LFL,7,-1,147,-1,0xD8,163,165
155,1,ego,Nice view!,07.LFL,7,-1,148,-1,0xD8,42,44
156,1,ego,We're already getting enough air through the door!,07.LFL,7,-1,148,-1,0xD8,56,58
157,1,ego,And go through Dad's underwear?,07.LFL,7,-1,149,-1,0xD8,37,39
158,1,ego,Never!,07.LFL,7,-1,149,-1,0xD8,37,39
159,1,ego,Nothing under the bed.,07.LFL,7,-1,151,-1,0xD8,57,59
160,1,ego,"No, it's too heavy.",07.LFL,7,-1,151,-1,0xD8,84,86
161,1,ego,It's of our old house in Four Corners.,07.LFL,7,-1,152,-1,0xD8,40,42
162,1,ego,"No, I'll leave it here.",07.LFL,7,-1,152,-1,0xD8,82,84
163,1,ego,What a mess!  I wonder what they were looking for?,07.LFL,7,-1,-1,-1,0xD8,14,16
164,1,ego,I wonder if it's this diary Dad sent me?,07.LFL,7,-1,-1,-1,0xD8,85,87
165,254,direct_actor,Indiana Jones' Health,08.LFL,8,41,-1,-1,0x14,23,33
166,254,direct_actor,Punch power,08.LFL,8,41,-1,-1,0x14,55,65
167,254,direct_actor,<STR:16385>'s Health,08.LFL,8,41,-1,-1,0x14,82,92
168,254,direct_actor,Nazi Guard's Health,08.LFL,8,41,-1,-1,0x14,109,119
169,254,direct_actor,"After recovering consciousness,",08.LFL,8,83,-1,-1,0x14,95,104
170,254,direct_actor,"our hero, Indiana Jones, was forced",08.LFL,8,83,-1,-1,0x14,136,145
171,254,direct_actor,to polish Hitler's ancient artifacts,08.LFL,8,83,-1,-1,0x14,181,190
172,254,direct_actor,for the rest of Hitler's life.,08.LFL,8,83,-1,-1,0x14,227,236
173,254,direct_actor,And since Hitler's people,08.LFL,8,83,-1,-1,0x14,271,280
174,254,direct_actor,"successfully located the Holy Grail,",08.LFL,8,83,-1,-1,0x14,306,315
175,254,direct_actor,this was a VERY long time.,08.LFL,8,83,-1,-1,0x14,352,361
176,254,direct_actor,"After paying for damages to the library floor,",08.LFL,8,83,-1,-1,0x14,398,407
177,254,direct_actor,Indiana enjoyed five years of jailhouse pasta,08.LFL,8,83,-1,-1,0x14,454,463
178,254,direct_actor,while his father withered away in a Nazi prison.,08.LFL,8,83,-1,-1,0x14,509,518
179,254,direct_actor,Good taste prevents us from describing,08.LFL,8,83,-1,-1,0x14,577,586
180,254,direct_actor,in much detail what happened.,08.LFL,8,83,-1,-1,0x14,625,634
181,254,direct_actor,"Needless to say, it was not a pretty sight.",08.LFL,8,83,-1,-1,0x14,668,677
182,254,direct_actor,And so ends the life and times,08.LFL,8,83,-1,-1,0x14,731,740
183,254,direct_actor,"of Indiana Jones,",08.LFL,8,83,-1,-1,0x14,771,780
184,254,direct_actor,not to mention the rest of the Free World!,08.LFL,8,83,-1,-1,0x14,802,811
185,254,direct_actor,The zeppelin returned to Berlin where,08.LFL,8,83,-1,-1,0x14,864,873
186,254,direct_actor,Colonel Vogel happily escorted both,08.LFL,8,83,-1,-1,0x14,911,920
187,254,direct_actor,"Henry, Jr. and Henry, Sr. to front row seats",08.LFL,8,83,-1,-1,0x14,956,965
188,254,direct_actor,at a firing squad.,08.LFL,8,83,-1,-1,0x14,1010,1019
189,254,direct_actor,We wish we could say that Indy,08.LFL,8,83,-1,-1,0x14,1048,1057
190,254,direct_actor,went down in history as the only American,08.LFL,8,83,-1,-1,0x14,1088,1097
191,254,direct_actor,ever to have punched out Hitler.,08.LFL,8,83,-1,-1,0x14,1139,1148
192,254,direct_actor,"Unfortunately, no one ever heard about it.",08.LFL,8,83,-1,-1,0x14,1185,1194
193,254,direct_actor,Your final scores:,08.LFL,8,83,-1,-1,0x14,1244,1255
194,254,direct_actor,Episode,08.LFL,8,83,-1,-1,0x14,1274,1285
195,254,direct_actor,Series,08.LFL,8,83,-1,-1,0x14,1293,1302
196,254,direct_actor,<INT:244>,08.LFL,8,83,-1,-1,0x14,1309,1320
197,254,direct_actor,<INT:245>,08.LFL,8,83,-1,-1,0x14,1325,1334
198,1,ego,Just give me a moment^,09.LFL,9,-1,-1,-1,0xD8,1,3
199,1,ego,It's something about Holy Grain - perhaps some special<CTRL1>wheat the priests ate?,09.LFL,9,-1,-1,-1,0xD8,40,42
200,5,direct_actor,"I'm sorry, Dr. Jones.  Evidently you're not the right man for<CTRL1>the job after all.",09.LFL,9,-1,-1,-1,0x14,122,125
201,5,direct_actor,Perhaps you're just an illegitimate copy of the man<CTRL1>I thought you were.,09.LFL,9,-1,-1,-1,0x14,122,125
202,1,ego,"The top portion is missing, but the rest^",09.LFL,9,-1,-1,-1,0xD8,8,10
203,1,ego,`^a spring welling up inside him for eternal life.`<CTRL1>`Through the desert to the canyon of the crescent moon.`,09.LFL,9,-1,-1,-1,0xD8,8,10
204,1,ego,`Where the cup that holds the blood of Jesus Christ<CTRL1>our Lord resides forever.`,09.LFL,9,-1,-1,-1,0xD8,170,172
205,5,direct_actor,"The Holy Grail, Dr. Jones.  It will bring eternal life<CTRL1>to whoever drinks from it.",09.LFL,9,-1,-1,-1,0x14,253,256
206,1,ego,An old man's dream.,09.LFL,9,-1,-1,-1,0xD8,340,342
207,5,direct_actor,Every man's dream.  Including your father.  He's the<CTRL1>foremost Grail scholar in the world today!,09.LFL,9,-1,-1,-1,0x14,363,366
208,5,direct_actor,"In any case, an attempt to recover the Grail is under way.",09.LFL,9,-1,-1,-1,0x14,363,366
209,1,ego,But the slab's incomplete.  You don't know where to look.,09.LFL,9,-1,-1,-1,0xD8,524,526
210,5,direct_actor,This slab is one of two markers left by three knights<CTRL1>during the First Crusade.,09.LFL,9,-1,-1,-1,0x14,585,588
211,5,direct_actor,This Franciscan manuscript tells of the second marker<CTRL1>buried with one of the Knights.,09.LFL,9,-1,-1,-1,0x14,687,690
212,5,direct_actor,It suggests that a description of the Grail can<CTRL1>be found on the way to the Knight's tomb.,09.LFL,9,-1,-1,-1,0x14,778,781
213,1,ego,It also says a painting was made of the Grail that answers<CTRL1>a question my Father had: Does the Grail actually glow?,09.LFL,9,-1,-1,-1,0xD8,906,908
214,1,ego,But it doesn't say where the Knight's tomb might be found!,09.LFL,9,-1,-1,-1,0xD8,1028,1030
215,5,direct_actor,"Our team leader believes it is in Venice, Italy -<CTRL1>and that is where he disappeared!",09.LFL,9,-1,-1,-1,0x14,1105,1108
216,5,direct_actor,We'd like you to take over his quest.,09.LFL,9,-1,-1,-1,0x14,1211,1214
217,1,ego,You've got the wrong Jones.  You should talk to my father.,09.LFL,9,-1,-1,-1,0xD8,1265,1267
218,5,direct_actor,We already have.  He's the man who disappeared.,09.LFL,9,-1,-1,-1,0x14,1327,1330
219,1,ego,I wonder where Elsa went.,12.LFL,12,-1,-1,-1,0xD8,128,130
220,1,ego,Maybe she was captured!,12.LFL,12,-1,-1,-1,0xD8,128,130
221,1,ego,Where's Elsa?,12.LFL,12,-1,-1,-1,0xD8,194,196
222,1,ego,I changed into my regular clothes so I wouldn't surprise her.,12.LFL,12,-1,-1,-1,0xD8,194,196
223,1,ego,I'll go scout around.,12.LFL,12,-1,-1,-1,0xD8,26,28
224,255,direct_actor,All right.  I'll stay in the car.,12.LFL,12,-1,-1,-1,0x14,51,56
225,1,ego,I'll come back in a few minutes.,12.LFL,12,-1,-1,-1,0xD8,91,93
226,1,ego,I think it could hold my weight if I could get to it.,13.LFL,13,-1,163,-1,0xD8,34,36
227,1,ego,I can't get to it from here!,13.LFL,13,-1,163,-1,0xD8,91,93
228,1,ego,It's still in good shape.,13.LFL,13,-1,165,-1,0xD8,34,36
229,1,ego,"I could climb down, but I wouldn't make it back to the ledge.",13.LFL,13,-1,165,-1,0xD8,63,65
230,1,ego,There's not enough there for me to whip!,13.LFL,13,-1,164,-1,0xD8,51,53
231,1,ego,That won't work.,13.LFL,13,-1,164,-1,0xD8,97,99
232,0,direct_actor,It's too high to reach.,13.LFL,13,-1,164,-1,0x14,123,131
233,1,ego,It's slippery out here!,13.LFL,13,-1,-1,-1,0xD8,4,6
234,1,ego,I'd better change into my action clothes!,13.LFL,13,-1,-1,-1,0xD8,4,6
235,254,direct_actor,<STR:16384>,14.LFL,14,-1,-1,-1,0x14,86,97
236,254,direct_actor,_,14.LFL,14,-1,-1,-1,0x14,102,107
237,254,direct_actor,<STR:53>,14.LFL,14,-1,-1,-1,0x14,78,88
238,255,direct_actor,The game was saved.,14.LFL,14,-1,-1,-1,0x14,31,41
239,255,direct_actor,ERROR: The game was NOT saved.,14.LFL,14,-1,-1,-1,0x14,71,81
240,255,direct_actor,ERROR: The game was NOT loaded.,14.LFL,14,-1,-1,-1,0x14,122,132
241,255,direct_actor,There are no saved games on the disk.,14.LFL,14,-1,-1,-1,0x14,174,184
242,255,direct_actor,Select game to <CTRL2>,14.LFL,14,-1,-1,-1,0x14,232,242
243,255,direct_actor,SAVE<CTRL2>,14.LFL,14,-1,-1,-1,0x14,260,265
244,255,direct_actor,.,14.LFL,14,-1,-1,-1,0x14,272,277
245,255,direct_actor,LOAD<CTRL2>,14.LFL,14,-1,-1,-1,0x14,317,322
246,255,direct_actor,Please enter a name for the saved game.,14.LFL,14,-1,-1,-1,0x14,346,356
247,255,direct_actor,"You selected an empty slot, please try again.",14.LFL,14,-1,-1,-1,0x14,406,416
248,255,direct_actor,"Select game to load, then select <CTRL2>",14.LFL,14,-1,-1,-1,0x14,472,482
249,255,direct_actor,OK<CTRL2>,14.LFL,14,-1,-1,-1,0x14,518,523
250,255,direct_actor,"Select save game slot, then type in name.",14.LFL,14,-1,-1,-1,0x14,545,555
251,255,direct_actor,"Finish typing name, press <CTRL2>",14.LFL,14,-1,-1,-1,0x14,607,617
252,255,direct_actor,ENTER<CTRL2>,14.LFL,14,-1,-1,-1,0x14,646,651
253,255,direct_actor,", then select <CTRL2>",14.LFL,14,-1,-1,-1,0x14,659,664
254,255,direct_actor,to Save.,14.LFL,14,-1,-1,-1,0x14,696,701
255,255,direct_actor,to Load.,14.LFL,14,-1,-1,-1,0x14,714,719
256,255,direct_actor,Loading `<STR:16385>`,14.LFL,14,-1,-1,-1,0x14,757,767
257,255,direct_actor,Saving `<STR:16385>`,14.LFL,14,-1,-1,-1,0x14,810,820
258,255,direct_actor,That game is not on the disk.,14.LFL,14,-1,-1,-1,0x14,844,854
259,255,direct_actor,Put a save-load game disk in Drive <STR:16388>.  Select<CTRL2>,14.LFL,14,-1,-1,-1,0x14,990,1000
260,255,direct_actor,<STR:16387>LOAD<CTRL2>,14.LFL,14,-1,-1,-1,0x14,1051,1056
261,255,direct_actor,Select<CTRL2>,14.LFL,14,-1,-1,-1,0x14,1092,1102
262,255,direct_actor,.  Or select <CTRL2>,14.LFL,14,-1,-1,-1,0x14,1127,1132
263,255,direct_actor,PLAY<CTRL2>,14.LFL,14,-1,-1,-1,0x14,1148,1153
264,255,direct_actor,to continue playing.,14.LFL,14,-1,-1,-1,0x14,1160,1165
265,1,ego,It's locked!,15.LFL,15,-1,178,-1,0xD8,78,80
266,1,ego,I guess Elsa couldn't keep the library open any longer.,15.LFL,15,-1,178,-1,0xD8,78,80
267,1,ego,I can't seem to budge it.,15.LFL,15,-1,179,-1,0xD8,49,51
268,1,ego,"No, I want to go back down there again.",15.LFL,15,-1,179,-1,0xD8,102,104
269,1,ego,"That's not my style, and he's definitely not my type.",15.LFL,15,-1,180,-1,0xD8,44,46
270,1,ego,He's either in love or drunk on this bad wine^ or both.,15.LFL,15,-1,180,-1,0xD8,101,103
271,1,ego,"I can't say much for his table manners, but<CTRL1>I marvel at his appetite.",15.LFL,15,-1,181,-1,0xD8,34,36
272,1,ego,What a disgusting idea!  He looks bad enough on the outside!,15.LFL,15,-1,181,-1,0xD8,108,110
273,1,ego,She just doesn't have Elsa's^ <CTRL2>,15.LFL,15,-1,184,-1,0xD8,46,48
274,1,ego,charisma.,15.LFL,15,-1,184,-1,0xD8,85,87
275,1,ego,"She's either in love, or there's something in the wine.",15.LFL,15,-1,184,-1,0xD8,99,101
276,1,ego,Why would anyone want a cat when they could have a dog?,15.LFL,15,-1,187,-1,0xD8,27,29
277,1,ego,She's just a sweet old Italian woman.,15.LFL,15,-1,190,-1,0xD8,44,46
278,1,ego,Please!  I've got manners!,15.LFL,15,-1,190,-1,0xD8,85,87
279,1,ego,He can't decide between fetuccine and veal.,15.LFL,15,-1,193,-1,0xD8,30,32
